city,subcity,restaurant,rating,New Rating Count,rating count,cost,cuisine,menu,item,price,veg_or_non_veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Falooda,Regular Falooda,100,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Falooda,Vanilla Falooda,110,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Falooda,Strawberry Falooda,110,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Falooda,Chocolate Falooda,130,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Falooda,Butterscotch Falooda,130,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Falooda,Black Currant Falooda,145,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Falooda,Pista Falooda,150,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Paan Pasand Lassi,100,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Black Currant Lassi,90,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Butterscotch Lassi,80,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Gulkand Lassi,80,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Blue Currant Lassi,80,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Kashmiri Gulab Lassi,80,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Kiwi Lassi,80,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Green Apple Lassi,70,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Lychee Lassi,70,Veg
Chennai,Poonamallee,LASSI AND SOUP CORNER,4.1,5,Too Few Ratings,200,Juices,Lassi,Mango Lassi,70,Veg
